A_Iniesta (BAR), 8 asistencias, 0,800 asistencias por partido
Sime_Vrsaljko (ATM), 0 asistencias, 0,000 asistencias por partido
Joel_Lynch (LIB), 0 asistencias, 0,000 asistencias por partido
A_Aréola (RMA), 0 asistencias, 0,000 asistencias por partido
Sven_Ulreich (BMU), 0 asistencias, 0,000 asistencias por partido
G_Ochoa (LIB), 0 asistencias, 0,000 asistencias por partido
Iker_Casillas (OPO), 0 asistencias, 0,000 asistencias por partido
Sergio_Romero (MUN), 0 asistencias, 0,000 asistencias por partido
R-R_Zieler (LEI), 0 asistencias, 0,000 asistencias por partido
Joe_Hart (LIB), 0 asistencias, 0,000 asistencias por partido
S_Mignolet (LIV), 0 asistencias, 0,000 asistencias por partido
Alisson (ROM), 0 asistencias, 0,000 asistencias por partido
Andrés_Fdez (VIL), 0 asistencias, 0,000 asistencias por partido
J_Hopf (LIB), 0 asistencias, 0,000 asistencias por partido
Stekelenburg (EVE), 0 asistencias, 0,000 asistencias por partido
G_Buffon (JUV), 0 asistencias, 0,000 asistencias por partido
Pepe_Reina (NAP), 0 asistencias, 0,000 asistencias por partido
M_Gorgelin (LYO), 0 asistencias, 0,000 asistencias por partido
Brice_Samba (OMA), 0 asistencias, 0,000 asistencias por partido
F_Escales (OMA), 0 asistencias, 0,000 asistencias por partido
Yohann_Pelé (OMA), 0 asistencias, 0,000 asistencias por partido
T_Courtois (CHE), 0 asistencias, 0,000 asistencias por partido
M_ter_Stegen (BAR), 0 asistencias, 0,000 asistencias por partido
Michel_Vorm (TOT), 0 asistencias, 0,000 asistencias por partido
Ederson (SLB), 0 asistencias, 0,000 asistencias por partido
J_Cillessen (BAR), 0 asistencias, 0,000 asistencias por partido
Ramazan_Özcan (BLE), 0 asistencias, 0,000 asistencias por partido
Asmir_Begovic (CHE), 0 asistencias, 0,000 asistencias por partido
F_Muslera (LIB), 0 asistencias, 0,000 asistencias por partido
W_Hennessey (LIB), 0 asistencias, 0,000 asistencias por partido
Jan_Oblak (ATM), 0 asistencias, 0,000 asistencias por partido
Kevin_Trapp (PSG), 0 asistencias, 0,000 asistencias por partido
Rui_Patrício (RMA), 0 asistencias, 0,000 asistencias por partido
David_Ospina (ARS), 0 asistencias, 0,000 asistencias por partido
Keylor_Navas (PSG), 0 asistencias, 0,000 asistencias por partido
K_Schmeichel (LEI), 0 asistencias, 0,000 asistencias por partido
Anthony_Lopes (LYO), 0 asistencias, 0,000 asistencias por partido
Mattia_Perin (NAP), 0 asistencias, 0,000 asistencias por partido
Ralf_Fährmann (S04), 0 asistencias, 0,000 asistencias por partido
Manuel_Neuer (BMU), 0 asistencias, 0,000 asistencias por partido
D_Subasic (ASM), 0 asistencias, 0,000 asistencias por partido
Diego_Alves (VAL), 0 asistencias, 0,000 asistencias por partido
G_Rulli (OPO), 0 asistencias, 0,000 asistencias por partido
Sergio_Asenjo (VIL), 0 asistencias, 0,000 asistencias por partido
Loris_Karius (LIV), 0 asistencias, 0,000 asistencias por partido
David_de_Gea (MUN), 0 asistencias, 0,000 asistencias por partido
Petr_Cech (ARS), 0 asistencias, 0,000 asistencias por partido
Hugo_Lloris (TOT), 0 asistencias, 0,000 asistencias por partido
Jeroen_Zoet (PSV), 0 asistencias, 0,000 asistencias por partido
Sergio_Rico (SEV), 0 asistencias, 0,000 asistencias por partido
W_Szczesny (ROM), 0 asistencias, 0,000 asistencias por partido
Claudio_Bravo (MCI), 0 asistencias, 0,000 asistencias por partido
S_Handanovic (INT), 0 asistencias, 0,000 asistencias por partido
G_Donnarumma (MIL), 0 asistencias, 0,000 asistencias por partido
Roman_Bürki (BDO), 0 asistencias, 0,000 asistencias por partido
Joel_Robles (EVE), 0 asistencias, 0,000 asistencias por partido
Alban_Lafont (AJX), 0 asistencias, 0,000 asistencias por partido
Y_Cardinale (NIC), 0 asistencias, 0,000 asistencias por partido
Bernd_Leno (BLE), 0 asistencias, 0,000 asistencias por partido
